Address,Type,Datetime,Latitude,Longitude
1519 Alaskan Way S,Car Fire,2025 Dec 29 09:54:00 AM,47.59017,-122.337486
5000 University Way Ne,Illegal Burn,2025 Dec 29 09:08:00 AM,47.664901,-122.313074
821 S Washington St,Rubbish Fire,2025 Dec 29 08:57:00 AM,47.601434,-122.322379
1414 Dexter Ave N,Auto Fire Alarm,2025 Dec 29 08:46:00 AM,47.631529,-122.342288
330 Ne Northgate Way,Auto Fire Alarm,2025 Dec 29 08:31:00 AM,47.708609,-122.325545
330 Ne Northgate Way,Auto Fire Alarm,2025 Dec 29 08:27:00 AM,47.708609,-122.325545
703 Bellevue Ave E,Auto Fire Alarm,2025 Dec 29 08:22:00 AM,47.625138,-122.326603
917 E Yesler Way,Illegal Burn,2025 Dec 29 08:20:00 AM,47.6017,-122.320537
330 Ne Northgate Way,Auto Fire Alarm,2025 Dec 29 07:53:00 AM,47.708609,-122.325545
9245 Rainier Ave S,Brush Fire,2025 Dec 29 07:48:00 AM,47.519875,-122.269051
1147 Sturgus Ave S,Illegal Burn,2025 Dec 29 07:30:00 AM,47.592745,-122.313252
8854 Delridge Way Sw,Auto Fire Alarm,2025 Dec 29 07:09:00 AM,47.523347,-122.36049
35th Ave Sw / Sw Avalon Way,Illegal Burn,2025 Dec 29 06:55:00 AM,47.564077,-122.376189
S King St / 5th Ave S,Dumpster Fire,2025 Dec 29 06:50:00 AM,47.598356,-122.327671
Cedar St / Denny Way,Illegal Burn,2025 Dec 29 06:46:00 AM,47.618571,-122.347621
S Jackson St / 10th Ave S,Illegal Burn,2025 Dec 29 06:32:00 AM,47.599184,-122.319639
2415 Western Ave,Auto Fire Alarm,2025 Dec 29 06:23:00 AM,47.613559,-122.348806
2219 2nd Ave,Auto Fire Alarm,2025 Dec 29 05:41:00 AM,47.613412,-122.344592
7th Ave S / S Jackson St,Rubbish Fire,2025 Dec 29 04:43:00 AM,47.599189,-122.32375
1510 1st Ave,Dumpster Fire,2025 Dec 29 03:55:00 AM,47.608912,-122.340096
4524 17th Ave Ne,Auto Fire Alarm,2025 Dec 29 03:42:00 AM,47.661478,-122.309511
800 Jefferson St,Auto Fire Alarm,2025 Dec 29 03:26:00 AM,47.604315,-122.32531
10515 Midvale Ave N,Rubbish Fire,2025 Dec 29 03:14:00 AM,47.705178,-122.343331
