OBJECTID,GEOID,Tract Label,Tract Name,Community Reporting Area Name,Community Reporting Area ID,Year,Tract Median Apartment Contract Rent per Square Foot,Tract Median Apartment Contract Rent per Unit,Year over Year Change in Rent per Square Foot,Year over Year Change in Rent per Unit,Cost Category,Year over Year Change in Rent Category,Mixed-Rate or Mixed-Income Apartment in Tract,Level of Concern,PROPERTIES,Shape__Area,Shape__Length
98,53033010302,103.02,Census Tract 103.02,Columbia City,4.2,2001,2.04,1427,0.051546392,0.051584377,High,Stable,259,,17,6804418.751,11267.2532
99,53033009100,91,Census Tract 91,Pioneer Square/International District,13.3,2001,2.14,1360,0.054187192,0.051817479,High,Stable,571,,12,4419685.266,10608.38541
100,53033009200,92,Census Tract 92,Pioneer Square/International District,13.3,2001,2.1,1244,0.055276382,0.051563821,High,Stable,321,,10,3456088.55,12687.12119
101,53033011700,117,Census Tract 117,South Beacon Hill/NewHolly,3.4,2001,0,0,0,0,,,0,,0,37826036.26,29439.62674
102,53033000500,5,Census Tract 5,Broadview/Bitter Lake,9.1,2001,0,0,0,0,,,0,,0,30294741.05,27094.56678
103,53033000601,6.01,Census Tract 6.01,Haller Lake,9.5,2001,1.24,873,0.050847458,0.045508982,Low,Stable,569,,15,15404952.58,20078.95648
104,53033003500,35,Census Tract 35,Greenwood/Phinney Ridge,9.3,2001,1.95,978,0.054054054,0.05387931,Medium,Stable,259,,21,13828061.67,16634.34896
105,53033001500,15,Census Tract 15,North Beach/Blue Ridge,10.1,2001,0.77,891,0.054794521,0.053191489,Low,Stable,59,,4,12300447.06,13960.37955
106,53033001400,14,Census Tract 14,North Beach/Blue Ridge,10.1,2001,1.28,1035,0.049180328,0.052899288,Low,Stable,433,,21,23073388.66,30536.33745
107,53033001300,13,Census Tract 13,Licton Springs,9.2,2001,1.36,851,0.054263566,0.053217822,Low,Stable,799,,64,12710036.99,14881.08705
108,53033003800,38,Census Tract 38,Ravenna/Bryant,7.3,2001,2.38,1220,0.053097345,0.055363322,High,Stable,159,,6,6722791.394,10392.53155
109,53033007001,70.01,Census Tract 70.01,Queen Anne,12.3,2001,1.8,1070,0.052631579,0.053149606,Medium,Stable,1374,,50,3856290.05,9530.302569
110,53033004800,48,Census Tract 48,Fremont,11.1,2001,1.97,1179,0.053475936,0.049866429,Medium,Stable,216,,25,13833886.82,18822.23657
111,53033005100,51,Census Tract 51,Wallingford,11.2,2001,2.65,1159,0.055776892,0.054595086,High,Stable,248,,22,9490350.153,13462.59155
112,53033008200,82,Census Tract 82,First Hill,6.1,2001,2.37,1810,0.048672566,0.052937755,High,Stable,810,,11,4044773.826,9102.140341
113,53033010101,101.01,Census Tract 101.01,Columbia City,4.2,2001,2.14,1150,0.049019608,0.053113553,Medium,Stable,177,,8,9381810.131,15311.65671
114,53033012100,121,Census Tract 121,Arbor Heights,1.1,2001,0,0,0,0,,,0,,0,18538900.93,25983.61624
115,53033011901,119.01,Census Tract 119.01,Rainier Beach,4.1,2001,0,0,0,0,,,0,,0,18097640.74,20485.64554
116,53033000602,6.02,Census Tract 6.02,Haller Lake,9.5,2001,1.12,963,0.037037037,0.039956803,Low,Stable,326,,8,25947507.86,23221.70475
117,53033000201,2.01,Census Tract 2.01,Olympic Hills/Victory Heights,8.2,2001,1.08,888,0.048543689,0.053380783,Low,Stable,836,,12,19446176.32,18651.57808
118,53033003302,33.02,Census Tract 33.02,Whittier Heights,10.2,2001,1.57,1032,0.046666667,0.051987768,Low,Stable,446,,51,6749336.486,10550.81793
119,53033005304,53.04,Census Tract 53.04,University District,7.2,2001,0,0,0,0,,,0,,0,786047.0981,4083.126066
120,53033004202,42.02,Census Tract 42.02,Ravenna/Bryant,7.3,2001,2.23,1540,0.056872038,0.052631579,High,Stable,54,,5,13141688.45,15651.66637
121,53033007404,74.04,Census Tract 74.04,Capitol Hill,6.2,2001,1.94,1137,0.054347826,0.052777778,Medium,Stable,1177,,61,1654579.828,5775.699987
122,53033006701,67.01,Census Tract 67.01,Queen Anne,12.3,2001,2.45,1821,0.051502146,0.051385681,High,Stable,360,,13,3639833.178,12143.77924
123,53033007800,78,Census Tract 78,Madrona/Leschi,5.1,2001,0,0,0,0,,,0,,0,22245158.16,28746.37352
124,53033007503,75.03,Census Tract 75.03,Capitol Hill,6.2,2001,2.4,1541,0.052631579,0.051877133,High,Stable,333,,14,2018614.368,6484.389482
125,53033007201,72.01,Census Tract 72.01,Cascade/Eastlake,11.3,2001,2.17,1452,0.043269231,0.043103448,High,Stable,1675,,12,1622558.9,5873.216511
126,53033007203,72.03,Census Tract 72.03,Cascade/Eastlake,11.3,2001,2.72,1939,0.05019305,0.052088985,High,Stable,162,,7,6238804.943,12493.9648
127,53033010301,103.01,Census Tract 103.01,Columbia City,4.2,2001,1.27,1108,0.058333333,0.053231939,Low,Stable,52,,4,10792262.46,16924.36851
128,53033009900,99,Census Tract 99,North Delridge,2.1,2001,1.79,1043,0.046783626,0.044044044,Medium,Stable,464,,16,70254374.71,64633.66158
129,53033009500,95,Census Tract 95,Mt. Baker/North Rainier,4.4,2001,2.07,977,0.056122449,0.053937433,Medium,Stable,140,,12,27424305.67,29618.2113
130,53033009400,94,Census Tract 94,North Beacon Hill/Jefferson Park,3.6,2001,2.26,1294,0.051162791,0.05203252,High,Stable,509,,52,18150625.68,18874.58318
131,53033011801,118.01,Census Tract 118.01,Rainier Beach,4.1,2001,1.19,842,0.053097345,0.053817272,Low,Stable,269,,13,12671173.51,15849.81354
132,53033011602,116.02,Census Tract 116.02,Fauntleroy/Seaview,1.2,2001,1.21,843,0.052173913,0.051122195,Low,Stable,113,,13,16924173.23,24704.04057
133,53033011401,114.01,Census Tract 114.01,Roxhill/Westwood,2.4,2001,1.2,1053,0.025641026,0.028320313,Low,Stable,565,,6,13273369.14,17478.05916
134,53033010701,107.01,Census Tract 107.01,High Point,2.2,2001,0.99,839,0.042105263,0.042236025,Low,Stable,199,,4,15726285.72,21302.36518
135,53033010602,106.02,Census Tract 106.02,Fauntleroy/Seaview,1.2,2001,1.34,890,0.05511811,0.05450237,Low,Stable,317,,20,15462014.06,23774.94714
136,53033000900,9,Census Tract 9,Cedar Park/Meadowbrook,8.3,2001,0,0,0,0,,,0,,0,10031158.89,20828.1662
137,53033000402,4.02,Census Tract 4.02,Broadview/Bitter Lake,9.1,2001,1.3,876,0.048387097,0.051620648,Low,Stable,485,,28,19362220.52,21397.1753
138,53033000300,3,Census Tract 3,Haller Lake,9.5,2001,1.05,799,0.05,0.05408971,Low,Stable,83,,7,13033864.6,17298.02954
139,53033003202,32.02,Census Tract 32.02,Sunset Hill/Loyal Heights,10.3,2001,1.8,1221,0.052631579,0.053494392,Medium,Stable,345,,34,10289818.46,12945.39486
140,53033003000,30,Census Tract 30,Whittier Heights,10.2,2001,1.82,1139,0.052023121,0.050738007,Medium,Stable,170,,22,16072222.01,16061.94762
141,53033001701,17.01,Census Tract 17.01,Greenwood/Phinney Ridge,9.3,2001,2.17,1363,0.053398058,0.053323029,High,Stable,370,,26,9609026.085,17164.45478
142,53033001600,16,Census Tract 16,North Beach/Blue Ridge,10.1,2001,2.3,1378,0.050228311,0.05351682,High,Stable,143,,11,20575392.71,23147.64598
143,53033002100,21,Census Tract 21,Wedgwood/View Ridge,7.4,2001,2.51,988,0.050209205,0.053304904,High,Stable,188,,16,14696796.74,16139.92186
144,53033003900,39,Census Tract 39,Wedgwood/View Ridge,7.4,2001,1.32,902,0.056,0.05497076,Low,Stable,108,,8,10481334.98,13200.90921
145,53033007102,71.02,Census Tract 71.02,Queen Anne,12.3,2001,2.26,1472,-0.054393305,-0.050322581,High,Decline,577,,19,3615500.898,11499.94075
146,53033006702,67.02,Census Tract 67.02,Queen Anne,12.3,2001,2.41,1646,0.047826087,0.051757188,High,Stable,388,,31,3280147.995,8593.864905
147,53033005401,54.01,Census Tract 54.01,Fremont,11.1,2001,2.2,1415,0.052631579,0.050482554,High,Stable,375,,32,7892270.588,19740.10787
148,53033008004,80.04,Census Tract 80.04,Belltown,13.1,2001,2.23,1705,0.046948357,0.047940996,High,Stable,738,,7,2908326.633,14944.97959
149,53033008003,80.03,Census Tract 80.03,Belltown,13.1,2001,2.43,1587,0.051948052,0.051689861,High,Stable,402,,7,2122043.711,8720.999421
150,53033008402,84.02,Census Tract 84.02,Capitol Hill,6.2,2001,2.1,1283,0.05,0.051639344,High,Stable,1187,,40,1565507.715,5220.868487
151,53033007303,73.03,Census Tract 73.03,Cascade/Eastlake,11.3,2001,0,0,0,0,,,0,,0,3374596.393,7984.863522
152,53033010002,100.02,Census Tract 100.02,North Beacon Hill/Jefferson Park,3.6,2001,1.62,1012,0.051948052,0.051975052,Low,Stable,419,,19,10204645.64,13732.76539
153,53033011902,119.02,Census Tract 119.02,Rainier Beach,4.1,2001,0,0,0,0,,,0,,0,16290813.63,28897.59863
154,53033011802,118.02,Census Tract 118.02,Rainier Beach,4.1,2001,1.1,673,0.047619048,0.049921997,Low,Stable,67,,3,12323056.74,17201.54679
