"Race/Ethnicity","Sex","Department","Age","Hourly Rate","Regular/Temporary","Employee Status"
"White","Male","Seattle Police Department","44","87.98","R","Active"
"Asian","Female","Seattle Public Library","65","35.72","R","Active"
"White","Male","Seattle Police Department","41","75.35","R","Active"
"Asian","Male","Seattle City Light","48","94.85","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","63","65.54","R","Active"
"Hispanic or Latino/a/x","Female","Seattle City Light","47","64.05","R","Active"
"Black or African American","Male","Seattle Public Utilities","51","49.22","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","50","46.81","R","Active"
"White","Male","Seattle Public Utilities","45","87.31","R","Active"
"White","Male","Seattle Fire Department","46","55.06","R","Active"
"White","Male","Information Technology","40","74.47","R","Active"
"White","Male","Seattle Police Department","58","80.52","R","Active"
"American Indian or Alaska Native","Male","Parks and Recreation Department","34","37.95","R","Active"
"White","Female","Seattle Police Department","48","55.19","R","Active"
"Asian","Female","Seattle Public Library","37","48.06","R","Active"
"White","Male","Seattle Police Department","28","70.46","R","Active"
"Black or African American","Female","Seattle City Light","43","43.09","R","Leave with Pay"
"White","Female","Seattle Police Department","33","46.91","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","46","77.78","R","Leave with Pay"
"Native Hawaiian or Other Pacific Islander","Male","Human Services","33","43.67","R","Active"
"White","Male","Seattle City Light","36","61.52","R","Active"
"Black or African American","Male","Seattle Department of Transportation","47","41.92","R","Active"
"White","Male","Seattle City Light","62","41.85","R","Active"
"White","Male","Parks and Recreation Department","65","67.15","R","Leave with Pay"
"White","Male","Seattle Public Utilities","44","57.31","R","Active"
"Asian","Male","Seattle City Light","39","71.69","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Parks and Recreation Department","41","37.95","R","Active"
"White","Male","Seattle Police Department","40","76.46","R","Active"
"White","Male","Seattle Fire Department","47","54.03","R","Active"
"White","Male","Law Department","55","106.39","R","Active"
"White","Male","Seattle City Light","45","77.36","R","Active"
"Asian","Male","Seattle Fire Department","56","51.46","R","Active"
"White","Female","Seattle City Light","37","65.54","R","Active"
"Asian","Male","Seattle Department of Transportation","59","50.74","R","Active"
"Asian","Female","Education and Early Learning","48","56.23","R","Active"
"Two or More Races","Male","Legislative Department","32","59.60","R","Active"
"Asian","Male","Seattle City Light","42","77.36","R","Leave with Pay"
"White","Male","Seattle Police Department","49","67.15","R","Active"
"White","Male","Seattle Police Department","55","74.98","R","Active"
"Two or More Races","Female","Human Services","61","39.18","R","Active"
"Asian","Female","Seattle Municipal Courts","28","43.12","R","Active"
"Asian","Male","Finance and Administrative Service","43","53.95","R","Active"
"White","Female","Human Services","52","22.48","R","Active"
"White","Male","Seattle City Light","40","74.86","R","Leave with Pay"
"White","Male","Seattle Public Utilities","63","56.17","R","Active"
"White","Male","Seattle Department of Transportation","50","87.31","R","Active"
"White","Female","Seattle Public Utilities","46","49.15","R","Leave with Pay"
"Hispanic or Latino/a/x","Female","Seattle Municipal Courts","36","41.66","R","Active"
"Black or African American","Female","Office of Arts and Culture","65","55.19","R","Leave with Pay"
"White","Female","Hearing Examiner","56","93.58","R","Active"
"Asian","Female","Information Technology","55","74.42","R","Active"
"White","Female","Seattle Police Department","50","68.58","R","Active"
"Asian","Male","Seattle Public Utilities","58","72.73","R","Active"
"White","Female","Seattle Police Department","51","88.40","R","Active"
"White","Male","Seattle Department of Transportation","23","38.84","R","Active"
"White","Female","Seattle Police Department","42","48.31","R","Active"
"White","Male","Seattle Center","76","45.05","T","Active"
"White","Male","Seattle City Light","42","82.56","R","Active"
"White","Female","Human Services","56","50.42","R","Active"
"Asian","Male","Employees Retirement System","42","37.47","R","Active"
"White","Male","Seattle City Light","52","44.52","R","Active"
"Black or African American","Female","Seattle Public Utilities","39","81.16","R","Active"
"White","Female","Seattle Public Utilities","57","82.35","R","Active"
"Black or African American","Male","Seattle Department of Transportation","55","41.92","R","Active"
"White","Male","Finance and Administrative Service","61","58.39","R","Leave Of Absence"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","53","85.12","R","Active"
"Not Specified","Male","Seattle Public Utilities","50","48.87","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","40","69.00","R","Active"
"White","Male","Seattle Fire Department","49","55.58","R","Active"
"Asian","Male","Parks and Recreation Department","26","39.94","R","Active"
"Black or African American","Male","Parks and Recreation Department","52","37.95","R","Active"
"White","Male","Seattle Public Utilities","56","62.90","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","33","76.46","R","Active"
"White","Male","Seattle City Light","37","40.61","R","Active"
"White","Male","Seattle Department of Transportation","38","62.93","R","Active"
"White","Male","Seattle Police Department","36","88.40","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","49","76.46","R","Active"
"White","Male","Seattle Department of Transportation","27","60.07","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","46","38.84","R","Active"
"White","Male","Parks and Recreation Department","51","65.16","R","Active"
"Black or African American","Female","Finance and Administrative Service","60","62.90","R","Active"
"White","Female","Community Safety and Communication Center","44","62.38","R","Active"
"Asian","Male","Seattle Police Department","34","76.46","R","Active"
"White","Male","Seattle Public Library","59","53.20","R","Active"
"Black or African American","Male","Seattle Police Department","32","67.15","R","Active"
"White","Male","Seattle Police Department","29","75.35","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Municipal Courts","42","67.96","T","Active"
"White","Male","Construction and Inspections","40","69.58","R","Active"
"White","Male","Law Department","44","42.25","R","Active"
"Black or African American","Male","Construction and Inspections","69","66.50","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Public Library","29","47.24","R","Leave with Pay"
"Asian","Male","Seattle Municipal Courts","44","84.87","R","Active"
"Asian","Female","Seattle Public Utilities","69","84.06","R","Leave with Pay"
"Asian","Male","Seattle Department of Transportation","26","65.40","R","Active"
