"Race/Ethnicity","Sex","Department","Age","Hourly Rate","Regular/Temporary","Employee Status"
"Asian","Female","Seattle City Light","53","81.93","R","Active"
"Asian","Female","Human Services","34","50.42","R","Active"
"Asian","Female","Seattle Public Library","59","38.91","R","Active"
"Two or More Races","Male","Seattle Fire Department","27","62.54","R","Active"
"Asian","Male","Seattle Police Department","37","76.46","R","Active"
"White","Male","Seattle Fire Department","41","81.31","R","Active"
"White","Male","Information Technology","41","72.38","R","Active"
"Black or African American","Male","Finance and Administrative Service","46","66.98","R","Active"
"White","Female","Community Safety and Communication Center","47","81.55","R","Active"
"White","Female","Seattle Municipal Courts","47","43.20","R","Active"
"Asian","Female","Seattle City Light","31","65.54","R","Active"
"White","Male","Seattle Fire Department","35","54.03","R","Active"
"Black or African American","Male","Education and Early Learning","34","62.90","R","Active"
"White","Male","Seattle Fire Department","27","51.46","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Library","33","45.93","R","Active"
"White","Male","Seattle Police Department","50","92.65","R","Active"
"White","Male","Seattle City Light","48","84.88","R","Active"
"White","Male","Seattle City Light","70","88.63","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","35","64.25","R","Active"
"White","Female","Finance and Administrative Service","32","50.28","R","Active"
"Asian","Male","Seattle Public Utilities","59","38.97","R","Leave with Pay"
"White","Female","Parks and Recreation Department","22","26.92","T","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","67","37.95","R","Active"
"Black or African American","Male","Parks and Recreation Department","35","21.51","T","Active"
"White","Female","Education and Early Learning","55","56.23","R","Active"
"Two or More Races","Female","Seattle Department of Transportation","59","75.91","R","Active"
"Asian","Male","Seattle Police Department","36","76.09","R","Active"
"Two or More Races","Male","Seattle City Light","30","70.75","R","Active"
"White","Male","Finance and Administrative Service","42","75.19","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","49","48.87","R","Active"
"Black or African American","Male","Seattle Police Department","34","76.46","R","Active"
"Asian","Male","Seattle City Light","44","55.96","R","Active"
"Asian","Male","Seattle Fire Department","31","51.45","R","Active"
"Black or African American","Female","Seattle Department of Transportation","68","44.52","R","Active"
"White","Male","Finance and Administrative Service","68","62.99","R","Active"
"Black or African American","Female","Seattle City Light","27","40.76","R","Active"
"Black or African American","Male","Seattle Public Library","60","41.66","R","Leave with Pay"
"White","Female","Seattle Center","58","44.51","R","Active"
"Not Specified","Female","Employees Retirement System","59","108.47","R","Active"
"White","Female","Seattle Department of Transportation","34","75.91","R","Active"
"White","Male","Seattle Police Department","45","88.40","R","Active"
"Asian","Male","Seattle Police Department","64","37.18","R","Active"
"White","Female","Law Department","45","49.25","R","Active"
"White","Male","Seattle Center","39","45.05","T","Active"
"White","Female","Seattle Public Library","49","54.46","R","Active"
"White","Male","Seattle City Light","34","37.95","R","Leave with Pay"
"Black or African American","Male","Seattle Public Library","40","35.72","R","Active"
"Two or More Races","Male","Seattle Department of Transportation","55","62.40","R","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","58","62.99","R","Active"
"White","Female","Sustainability and Environment","24","43.86","R","Active"
"Asian","Female","Information Technology","44","82.79","R","Active"
"Asian","Male","Information Technology","53","74.79","R","Active"
"Asian","Male","Information Technology","59","88.28","R","Active"
"White","Female","Seattle Fire Department","41","51.46","R","Active"
"White","Male","Seattle Fire Department","35","55.06","R","Active"
"White","Female","Seattle City Light","66","124.03","R","Active"
"Black or African American","Male","Seattle Public Utilities","65","55.24","R","Active"
"White","Male","Seattle Fire Department","26","46.31","R","Active"
"White","Male","Seattle City Light","29","67.30","R","Active"
"White","Female","Seattle Municipal Courts","54","41.66","R","Active"
"Asian","Male","Seattle Department of Transportation","51","94.12","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","47","41.31","R","Active"
"White","Female","Seattle Department of Transportation","42","83.50","R","Active"
"White","Male","Seattle Fire Department","54","55.06","R","Active"
"White","Female","Seattle Public Utilities","40","74.08","R","Active"
"White","Male","Office of Economic Development and Special Events Office","44","70.93","R","Active"
"White","Male","Parks and Recreation Department","54","46.53","R","Active"
"White","Female","Parks and Recreation Department","45","60.22","R","Active"
"Two or More Races","Female","Human Resources","34","63.47","R","Active"
"White","Female","Seattle Public Utilities","30","53.14","R","Active"
"Black or African American","Male","Information Technology","50","130.30","R","Active"
"White","Male","Seattle Police Department","63","39.18","R","Active"
"White","Male","Seattle Police Department","64","76.46","R","Active"
"White","Female","Seattle Public Library","54","47.24","R","Active"
"White","Male","Seattle Public Library","57","54.46","R","Active"
"White","Male","Seattle City Light","60","87.02","R","Active"
"White","Male","Seattle Public Utilities","45","74.37","R","Active"
"White","Male","Seattle Police Department","42","74.98","R","Active"
"Asian","Female","Seattle Department of Transportation","31","63.19","R","Leave Of Absence"
"Black or African American","Male","Seattle Public Utilities","70","62.90","R","Active"
"Not Specified","Male","Seattle Fire Department","54","69.92","R","Active"
"White","Male","Seattle Police Department","32","76.46","R","Active"
"White","Male","Seattle Public Utilities","65","70.35","R","Active"
"Asian","Female","Construction and Inspections","57","72.34","R","Active"
"American Indian or Alaska Native","Female","Office of Labor Standards","34","65.24","R","Active"
"Black or African American","Male","Parks and Recreation Department","49","50.56","R","Active"
"Hispanic or Latino/a/x","Female","Human Services","35","65.54","R","Active"
"White","Male","Seattle Center","45","48.56","R","Active"
"Asian","Male","Finance and Administrative Service","31","69.37","R","Active"
"White","Female","Seattle City Light","47","60.75","R","Active"
"White","Male","Seattle Department of Transportation","35","67.84","R","Active"
"Not Specified","Female","Office of the Inspector General for Public Safety","44","80.00","R","Active"
"Black or African American","Male","Seattle Police Department","54","76.46","R","Active"
"Black or African American","Female","Seattle City Light","75","42.07","R","Active"
"Asian","Male","Parks and Recreation Department","67","37.95","R","Active"
"White","Female","Seattle Department of Transportation","48","55.19","R","Active"
"Asian","Male","Parks and Recreation Department","34","56.23","R","Active"
"White","Male","Seattle Fire Department","34","46.31","R","Active"
"Two or More Races","Female","Parks and Recreation Department","35","26.92","T","Active"
"White","Male","Seattle Fire Department","53","59.18","R","Active"
"Asian","Male","Legislative Department","54","98.18","R","Active"
"White","Male","Seattle Public Utilities","49","65.54","R","Active"
"White","Female","Seattle Public Library","40","54.46","R","Active"
"White","Male","Seattle City Light","36","46.63","R","Leave with Pay"
"Asian","Male","Seattle Department of Transportation","71","42.25","R","Active"
"White","Male","Seattle Department of Transportation","38","41.56","R","Active"
"White","Female","Seattle Police Department","59","150.43","R","Active"
"Black or African American","Male","Seattle Department of Transportation","41","62.40","R","Active"
"White","Male","Seattle Fire Department","48","59.18","R","Active"
"Black or African American","Male","Parks and Recreation Department","46","37.95","R","Active"
"Asian","Male","Seattle Police Department","49","55.19","R","Active"
"Asian","Male","Seattle City Light","41","98.25","R","Active"
"White","Male","Seattle City Light","30","22.48","R","Active"
"White","Male","Seattle Department of Transportation","56","54.72","R","Active"
"Black or African American","Male","Seattle Police Department","49","65.67","R","Active"
"White","Male","Seattle Fire Department","48","62.54","R","Active"
"White","Male","Information Technology","65","88.30","R","Active"
"American Indian or Alaska Native","Male","Parks and Recreation Department","50","45.64","R","Active"
"White","Female","Seattle Public Utilities","40","80.17","R","Active"
"White","Male","Civil Rights Office","38","53.14","R","Active"
"White","Male","Seattle Fire Department","25","46.31","R","Active"
"White","Male","Information Technology","39","77.21","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","55","70.35","R","Active"
"Asian","Male","Seattle Department of Transportation","42","58.51","R","Active"
"White","Female","Information Technology","48","74.20","R","Active"
"Two or More Races","Female","Finance and Administrative Service","51","35.00","T","Active"
"White","Female","Parks and Recreation Department","40","85.58","R","Active"
"White","Male","Seattle Fire Department","51","60.36","R","Active"
"Black or African American","Male","Seattle Public Utilities","55","44.08","R","Active"
"White","Male","Seattle Police Department","38","67.15","R","Active"
"Black or African American","Male","Seattle City Light","64","77.36","R","Active"
"Asian","Male","Seattle Public Library","40","47.24","R","Active"
"White","Male","Seattle Public Utilities","53","42.25","R","Active"
"White","Female","Sustainability and Environment","62","84.05","R","Leave with Pay"
"Two or More Races","Female","Seattle Police Department","33","44.51","R","Active"
"Asian","Female","Information Technology","44","74.47","R","Active"
"White","Male","Seattle Police Department","54","76.09","R","Active"
"White","Male","Seattle Fire Department","54","84.77","R","Active"
"White","Male","Seattle Center","56","41.69","R","Active"
"Asian","Female","Seattle Public Utilities","46","65.54","R","Active"
"White","Male","Parks and Recreation Department","49","38.84","R","Active"
"Asian","Female","Seattle City Light","52","94.85","R","Leave with Pay"
"White","Male","Seattle Fire Department","44","59.18","R","Active"
"White","Male","Parks and Recreation Department","55","37.95","R","Active"
"White","Male","Seattle Fire Department","39","55.06","R","Active"
"Asian","Male","Seattle Police Department","27","64.73","R","Active"
"Black or African American","Female","Parks and Recreation Department","20","26.92","T","Active"
"White","Male","Seattle Public Utilities","47","55.76","R","Active"
"Black or African American","Male","Seattle City Light","39","69.43","R","Active"
"White","Female","Human Services","58","50.42","R","Active"
"White","Male","Seattle City Light","52","88.37","R","Active"
"White","Male","Parks and Recreation Department","38","55.14","R","Active"
"Not Specified","Female","Education and Early Learning","51","56.23","R","Active"
"White","Male","Seattle Fire Department","58","60.36","R","Active"
"White","Female","Office of Arts and Culture","57","48.31","R","Active"
"Not Specified","Male","Seattle Public Library","47","45.93","R","Active"
"Not Specified","Male","Seattle City Light","48","155.70","R","Active"
"White","Male","Seattle Fire Department","47","61.75","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Parks and Recreation Department","51","65.54","R","Active"
"Hispanic or Latino/a/x","Male","Construction and Inspections","41","67.60","R","Active"
"White","Male","Information Technology","58","74.48","R","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","62","37.95","R","Active"
"White","Male","Seattle Public Utilities","48","94.12","R","Active"
"Asian","Male","Seattle Police Department","32","76.46","R","Leave Of Absence"
"White","Male","Seattle Department of Transportation","37","60.59","R","Active"
"Asian","Male","Seattle Department of Transportation","56","37.95","R","Active"
"Asian","Male","Seattle Public Utilities","57","47.23","R","Active"
"White","Male","Construction and Inspections","63","59.62","R","Active"
"White","Male","Seattle Fire Department","33","51.46","R","Active"
"Black or African American","Female","Seattle Fire Department","28","51.45","R","Active"
"Asian","Female","Seattle City Light","42","106.71","R","Active"
"White","Female","Seattle Fire Department","45","48.31","R","Active"
"Asian","Female","Seattle Public Utilities","58","62.90","R","Leave with Pay"
"Hispanic or Latino/a/x","Male","Finance and Administrative Service","34","66.98","R","Active"
"Asian","Female","Seattle Public Library","29","35.72","R","Leave with Pay"
"Not Specified","Male","Seattle Center","56","39.68","R","Active"
"White","Male","Community Safety and Communication Center","36","75.53","R","Leave Of Absence"
"White","Male","Law Department","48","106.39","R","Active"
"White","Female","Parks and Recreation Department","45","66.43","R","Active"
"White","Female","Seattle Public Library","37","54.46","R","Active"
"White","Male","Seattle Public Utilities","30","63.14","R","Active"
"Not Specified","Male","Seattle Public Utilities","46","89.99","R","Active"
"Black or African American","Male","Parks and Recreation Department","53","37.95","R","Active"
"Black or African American","Male","Parks and Recreation Department","31","37.95","R","Active"
"Black or African American","Male","Seattle Department of Transportation","54","44.51","R","Active"
"White","Male","Law Department","37","67.12","R","Active"
"White","Male","Construction and Inspections","60","78.76","R","Active"
"White","Female","Law Department","46","90.15","R","Active"
"Asian","Male","Seattle Fire Department","33","51.46","R","Active"
"Two or More Races","Female","City Budget Office","34","71.37","R","Active"
"Black or African American","Female","Construction and Inspections","56","57.31","R","Active"
"Black or African American","Female","Parks and Recreation Department","49","26.92","T","Active"
"White","Female","Housing Office","48","39.65","R","Active"
"Asian","Female","Seattle Department of Transportation","45","74.37","R","Active"
"Two or More Races","Male","Seattle Police Department","56","123.97","R","Active"
"White","Female","Seattle City Light","44","100.13","R","Active"
"Black or African American","Male","Parks and Recreation Department","57","41.92","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","34","44.08","R","Active"
"Asian","Female","Seattle Department of Transportation","50","92.84","R","Active"
"White","Female","Seattle Police Department","49","76.82","R","Active"
"White","Female","Finance and Administrative Service","54","47.95","R","Active"
"Asian","Male","Finance and Administrative Service","54","65.26","R","Active"
"Asian","Female","Civil Rights Office","32","58.79","R","Active"
"White","Male","Seattle Department of Transportation","43","69.98","R","Active"
"White","Male","Finance and Administrative Service","54","77.82","R","Active"
"White","Female","Construction and Inspections","72","78.76","R","Active"
"White","Female","Seattle Center","63","41.31","R","Active"
"White","Female","Seattle Police Department","31","49.70","R","Leave with Pay"
"Native Hawaiian or Other Pacific Islander","Female","Finance and Administrative Service","44","80.27","R","Active"
"White","Male","Seattle Public Utilities","39","77.83","R","Active"
"White","Male","Construction and Inspections","68","70.40","R","Active"
"Black or African American","Male","Parks and Recreation Department","37","46.93","R","Active"
"White","Non-Specified","Seattle Public Library","37","47.24","R","Active"
"White","Female","Seattle Public Library","60","33.89","R","Active"
"White","Male","Parks and Recreation Department","59","34.08","T","Active"
"Asian","Female","Parks and Recreation Department","57","45.64","R","Active"
"Two or More Races","Female","Human Services","42","39.65","R","Active"
"White","Female","Seattle Public Utilities","33","87.31","R","Leave with Pay"
"White","Female","Seattle Fire Department","36","58.15","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","38","76.46","R","Active"
"White","Female","Construction and Inspections","45","92.36","R","Active"
"Two or More Races","Male","Parks and Recreation Department","65","74.86","T","Active"
"Two or More Races","Male","Seattle Police Department","32","76.46","R","Active"
"Black or African American","Female","Seattle Public Utilities","60","44.52","R","Leave with Pay"
"White","Male","Finance and Administrative Service","67","129.31","R","Active"
"White","Male","Construction and Inspections","60","78.98","R","Active"
"White","Male","Construction and Inspections","65","61.69","R","Active"
"White","Male","Seattle Police Department","36","76.46","R","Active"
"White","Male","Seattle Fire Department","65","60.95","R","Active"
"White","Female","Seattle Police Department","46","70.46","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","47","71.98","R","Active"
"White","Female","Parks and Recreation Department","64","45.94","R","Active"
"Two or More Races","Male","Seattle City Light","34","69.56","R","Active"
"Asian","Female","Seattle Municipal Courts","35","40.04","R","Active"
"Asian","Female","Seattle Municipal Courts","50","43.93","R","Active"
"White","Male","Seattle Fire Department","43","55.06","R","Active"
"Two or More Races","Male","Seattle Department of Transportation","36","37.06","R","Active"
"Black or African American","Female","Parks and Recreation Department","46","26.92","T","Active"
"Asian","Female","Seattle City Light","64","30.30","R","Active"
"White","Female","Seattle Center","84","26.92","T","Active"
"White","Male","Parks and Recreation Department","61","30.28","R","Active"
"White","Male","Parks and Recreation Department","30","41.69","R","Active"
"Black or African American","Male","Parks and Recreation Department","48","57.00","R","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","66","37.06","R","Active"
"White","Male","Construction and Inspections","44","56.05","R","Active"
"White","Female","Seattle Public Utilities","44","84.16","R","Active"
"White","Male","Seattle Department of Transportation","51","52.71","R","Active"
"Asian","Female","Seattle Center","47","49.99","R","Active"
"Asian","Male","Parks and Recreation Department","54","44.92","R","Active"
"Two or More Races","Female","Parks and Recreation Department","21","26.92","T","Active"
"White","Female","Parks and Recreation Department","55","55.19","R","Active"
"Two or More Races","Female","Office of Arts and Culture","62","51.46","R","Active"
"Asian","Male","Parks and Recreation Department","54","33.98","R","Active"
"White","Female","Police Relief and Pension","59","84.83","R","Active"
"Two or More Races","Female","Parks and Recreation Department","19","26.92","T","Active"
"White","Male","Parks and Recreation Department","40","37.53","R","Active"
"White","Female","Seattle Municipal Courts","42","43.93","R","Active"
"Asian","Female","Community Safety and Communication Center","31","49.51","R","Active"
"Black or African American","Male","Seattle Center","34","34.32","R","Active"
"White","Female","Seattle Municipal Courts","28","42.25","R","Active"
"White","Female","Seattle Department of Transportation","33","37.06","R","Leave with Pay"
"Hispanic or Latino/a/x","Female","Seattle Center","57","26.92","T","Active"
"White","Female","Seattle City Light","31","76.15","R","Active"
"Asian","Male","Seattle Fire Department","47","68.05","R","Active"
"Asian","Male","Parks and Recreation Department","35","47.39","R","Active"
"Asian","Female","Law Department","67","39.18","R","Leave with Pay"
"White","Male","Seattle Police Department","40","76.46","R","Active"
"Hispanic or Latino/a/x","Male","Information Technology","38","74.72","R","Active"
"Two or More Races","Male","Parks and Recreation Department","18","26.92","T","Active"
"White","Female","Seattle Center","84","26.92","T","Active"
"White","Male","Seattle Fire Department","47","55.06","R","Active"
"Black or African American","Female","Parks and Recreation Department","72","26.92","T","Active"
"Black or African American","Female","Parks and Recreation Department","64","26.92","T","Active"
"Asian","Female","Seattle Public Utilities","56","87.31","R","Active"
"White","Male","Seattle Public Utilities","50","67.84","R","Active"
"White","Female","Seattle Public Library","60","54.46","R","Active"
"White","Male","Seattle Police Department","54","76.46","R","Active"
"White","Male","Seattle Center","46","81.93","R","Active"
"White","Female","Information Technology","53","63.19","R","Active"
"Hispanic or Latino/a/x","Female","Finance and Administrative Service","41","66.98","R","Active"
"White","Male","Construction and Inspections","56","64.30","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","33","54.55","R","Active"
"Asian","Male","Construction and Inspections","49","49.25","R","Active"
"White","Male","Seattle Police Department","40","59.25","R","Active"
"Hispanic or Latino/a/x","Female","Office of Labor Standards","55","76.84","R","Active"
"White","Male","Parks and Recreation Department","54","62.08","R","Active"
"White","Male","Law Department","53","91.20","R","Active"
"White","Male","Seattle City Light","67","51.47","R","Active"
"White","Male","Seattle Police Department","57","89.25","R","Active"
"White","Male","Seattle Public Utilities","65","46.35","T","Active"
"White","Male","Seattle Police Department","49","76.46","R","Active"
"White","Female","Mayor's Office","59","22.48","R","Active"
"Asian","Male","Seattle Fire Department","29","55.06","R","Active"
"Black or African American","Male","Seattle Public Utilities","34","62.84","R","Active"
"White","Female","Seattle Public Utilities","57","57.19","R","Active"
"White","Female","Office of Arts and Culture","40","60.75","R","Active"
"White","Male","Seattle City Light","32","41.92","R","Active"
"American Indian or Alaska Native","Male","Seattle Fire Department","28","51.46","R","Active"
"White","Male","Seattle Fire Department","34","51.97","R","Active"
"Hispanic or Latino/a/x","Female","Education and Early Learning","31","48.31","R","Active"
"Asian","Male","Information Technology","42","76.60","R","Active"
"White","Male","Seattle City Light","51","77.36","R","Active"
"White","Male","Seattle Police Department","43","87.98","R","Active"
"White","Female","Seattle Public Library","42","54.46","R","Active"
"White","Male","Seattle Police Department","46","104.25","R","Active"
"White","Male","Seattle Police Department","28","76.46","R","Active"
"White","Female","Human Services","64","50.42","R","Active"
"Two or More Races","Male","Human Services","43","61.66","R","Active"
"White","Female","Seattle Center","52","45.05","T","Active"
"White","Female","Seattle Department of Transportation","57","83.50","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Public Utilities","70","52.04","T","Active"
"White","Female","Seattle Public Library","41","35.72","R","Active"
"White","Male","Seattle Public Utilities","37","48.34","R","Active"
"Asian","Male","Seattle Public Library","46","37.17","R","Active"
"White","Male","Human Resources","40","81.06","R","Active"
"Asian","Female","Construction and Inspections","49","58.95","R","Active"
"White","Female","Seattle Police Department","41","76.46","R","Active"
"Black or African American","Male","Human Services","36","45.95","R","Active"
"American Indian or Alaska Native","Male","Seattle Fire Department","39","54.55","R","Active"
"White","Male","Seattle City Light","34","41.85","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","55","77.36","R","Active"
"White","Female","Finance and Administrative Service","36","81.66","R","Active"
"Black or African American","Male","Seattle Center","50","53.15","R","Active"
"White","Male","Parks and Recreation Department","42","57.00","R","Active"
"Two or More Races","Male","Seattle Public Utilities","39","44.63","R","Active"
"Black or African American","Male","Parks and Recreation Department","64","37.95","R","Active"
"Asian","Female","Seattle Municipal Courts","56","43.93","R","Active"
"White","Male","Seattle Police Department","52","76.46","R","Active"
"Asian","Male","Seattle Police Department","30","64.73","R","Active"
"White","Female","Construction and Inspections","51","78.76","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","23","62.54","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Public Library","42","54.46","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","42","45.29","R","Active"
"White","Male","Seattle Fire Department","50","55.06","R","Active"
"White","Male","Information Technology","50","22.48","R","Active"
"White","Male","Seattle Police Department","37","89.25","R","Active"
"White","Female","Seattle Public Library","55","34.01","R","Active"
"Asian","Female","Seattle Public Utilities","55","44.92","R","Active"
"Not Specified","Female","Seattle Public Utilities","62","71.96","R","Active"
"Asian","Female","Office of the Inspector General for Public Safety","64","55.19","R","Active"
"White","Male","Seattle Police Department","32","76.46","R","Active"
"White","Female","Seattle Police Department","34","55.19","R","Active"
"Asian","Female","Seattle City Light","51","73.97","R","Active"
"White","Male","Seattle City Light","47","70.35","R","Active"
"White","Male","Seattle Fire Department","35","58.15","R","Active"
"Asian","Female","Seattle Department of Transportation","56","39.18","R","Leave with Pay"
"Asian","Male","Seattle Fire Department","60","62.90","R","Leave with Pay"
"White","Female","Information Technology","58","75.36","R","Active"
"White","Female","Seattle Police Department","42","39.53","R","Active"
"White","Female","Seattle Department of Transportation","50","72.12","R","Active"
"White","Female","Office of Arts and Culture","50","61.96","R","Active"
"White","Male","Seattle Department of Transportation","47","69.98","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","33","67.15","R","Active"
"Asian","Male","Seattle City Light","67","47.09","R","Active"
"White","Male","Seattle Center","74","34.64","R","Active"
"White","Male","Seattle Fire Department","47","55.06","R","Active"
"White","Female","Finance and Administrative Service","51","104.70","R","Active"
"White","Male","Seattle City Light","64","47.25","R","Active"
"White","Female","Community Safety and Communication Center","38","62.38","R","Active"
"Asian","Female","Seattle Public Utilities","54","44.92","R","Active"
"White","Male","Human Services","48","50.42","R","Active"
"White","Male","Seattle Fire Department","48","68.05","R","Active"
"Two or More Races","Male","Seattle Police Department","27","67.15","R","Active"
"Black or African American","Male","Seattle Municipal Courts","27","50.98","R","Active"
"Asian","Male","Seattle City Light","58","87.02","R","Active"
"White","Male","Seattle City Light","33","22.48","R","Active"
"White","Female","Parks and Recreation Department","42","38.29","R","Active"
"American Indian or Alaska Native","Female","Seattle City Light","48","54.34","R","Active"
"Black or African American","Male","Seattle City Light","41","107.51","R","Active"
"White","Female","Parks and Recreation Department","38","60.25","R","Active"
"White","Male","Parks and Recreation Department","27","34.08","R","Active"
"Not Specified","Male","Information Technology","50","78.15","R","Active"
"White","Male","Seattle Department of Transportation","49","79.21","R","Active"
"White","Male","Seattle City Light","59","87.31","R","Active"
"Black or African American","Male","Parks and Recreation Department","59","75.91","R","Active"
"Black or African American","Male","Seattle City Light","67","77.36","R","Active"
"White","Male","Construction and Inspections","64","64.12","R","Active"
"White","Male","Parks and Recreation Department","52","58.66","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Seattle Public Utilities","31","37.06","R","Leave with Pay"
"White","Male","Seattle Public Utilities","44","78.29","R","Active"
"White","Female","Community Safety and Communication Center","33","44.49","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Seattle Police Department","32","65.54","R","Active"
"Asian","Female","Seattle Police Department","52","104.25","R","Active"
"White","Female","Seattle Public Utilities","63","47.57","R","Active"
"White","Male","Seattle Police Department","31","76.46","R","Active"
"Black or African American","Male","Seattle City Light","57","52.78","R","Active"
"Two or More Races","Female","Seattle Police Department","35","77.57","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","63","45.43","R","Active"
"Two or More Races","Female","Seattle Department of Transportation","47","55.19","R","Active"
"White","Male","Construction and Inspections","56","53.14","R","Active"
"White","Male","Parks and Recreation Department","49","51.99","R","Active"
"Two or More Races","Female","Seattle Public Utilities","29","70.03","R","Active"
"Asian","Male","Seattle Fire Department","36","55.06","R","Active"
"Black or African American","Female","Seattle Public Library","29","50.42","R","Active"
"White","Female","Seattle Public Library","75","36.27","R","Active"
"Asian","Female","Legislative Department","37","65.54","R","Active"
"White","Female","Parks and Recreation Department","49","37.95","T","Active"
"White","Male","Information Technology","67","88.91","R","Active"
"White","Male","Parks and Recreation Department","50","71.86","R","Active"
"White","Female","Seattle Police Department","55","92.69","R","Active"
"Asian","Female","Education and Early Learning","65","36.28","R","Active"
"White","Male","Emergency Management Office","46","82.10","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","48","61.75","R","Active"
"Black or African American","Female","Seattle Public Utilities","47","68.03","R","Active"
"White","Male","Seattle Public Utilities","53","43.21","R","Leave with Pay"
"White","Male","Seattle Fire Department","41","60.21","R","Active"
"White","Female","Finance and Administrative Service","45","87.37","R","Active"
"Asian","Male","Seattle Department of Transportation","33","41.31","R","Active"
"White","Male","Seattle Public Library","34","34.01","R","Active"
"White","Male","Parks and Recreation Department","34","45.64","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","35","64.73","R","Active"
"Asian","Male","Seattle City Light","44","105.11","R","Active"
"Not Specified","Male","Human Resources","62","55.19","R","Active"
"White","Male","Construction and Inspections","54","72.31","R","Active"
"Black or African American","Male","Seattle Police Department","62","35.86","R","Active"
"Asian","Female","Seattle Center","44","84.67","T","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","57","76.46","R","Active"
"White","Female","Seattle Police Department","46","76.82","R","Active"
"Asian","Female","Seattle Public Utilities","30","55.19","R","Leave with Pay"
"Asian","Female","Seattle Public Library","55","38.91","R","Active"
"Black or African American","Female","Seattle Department of Transportation","45","55.19","R","Active"
"White","Male","Seattle City Light","68","77.36","R","Active"
"White","Female","Seattle City Light","57","84.88","R","Active"
"White","Male","Information Technology","42","79.00","R","Active"
"White","Male","Seattle City Light","59","106.52","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Police Department","40","76.82","R","Active"
"White","Female","Information Technology","54","84.69","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Seattle Department of Transportation","40","37.47","R","Active"
"White","Female","Finance and Administrative Service","66","37.47","R","Leave with Pay"
"Asian","Female","Information Technology","70","80.93","R","Active"
"White","Female","Law Department","55","106.39","R","Active"
"White","Female","Construction and Inspections","60","44.51","R","Active"
"Asian","Male","Seattle Police Department","37","76.46","R","Active"
"White","Male","Seattle Fire Department","55","62.93","R","Active"
"Asian","Male","Seattle Center","61","62.99","R","Active"
"American Indian or Alaska Native","Male","Seattle Police Department","59","123.97","R","Active"
"Hispanic or Latino/a/x","Female","Finance and Administrative Service","62","82.28","R","Active"
"Asian","Male","Ethics and Elections Commissions","36","55.19","R","Active"
"White","Male","Information Technology","61","90.92","R","Active"
"White","Female","Seattle Department of Transportation","65","44.64","R","Active"
"Asian","Female","Seattle Public Utilities","44","69.10","R","Active"
"White","Female","Human Services","61","50.33","R","Active"
"White","Male","Seattle City Light","40","53.14","R","Active"
"Asian","Female","Parks and Recreation Department","54","38.84","R","Active"
"Asian","Female","Seattle Public Library","50","83.93","R","Leave with Pay"
"White","Male","Seattle City Light","65","50.15","R","Active"
"Asian","Male","Seattle City Light","47","77.36","R","Active"
"White","Male","Seattle Fire Department","34","59.56","R","Active"
"White","Male","Parks and Recreation Department","48","55.19","R","Active"
"White","Female","City Budget Office","52","89.67","R","Active"
"White","Male","Seattle Center","66","59.73","R","Active"
"Hispanic or Latino/a/x","Male","Finance and Administrative Service","47","62.66","R","Active"
"White","Male","Seattle Center","50","55.19","R","Active"
"White","Female","Seattle Public Utilities","62","42.22","R","Active"
"Two or More Races","Female","Seattle City Light","48","37.47","R","Active"
"White","Female","Finance and Administrative Service","40","82.28","R","Active"
"Hispanic or Latino/a/x","Female","Human Resources","56","68.03","R","Active"
"White","Male","Construction and Inspections","44","70.42","R","Active"
"Asian","Male","Seattle City Light","38","77.36","R","Active"
"White","Male","Seattle Fire Department","37","51.46","R","Active"
"White","Male","Law Department","36","88.57","R","Active"
"White","Female","Seattle Public Utilities","66","87.31","R","Active"
